naslov_nom,naslov_orig,leto,kategorija,drzava,jezik
The Motorcycle Diaries,Diarios de motocicleta,2004,Music,Brazil  Argentina  Chile  France  Germany  Peru  United Kingdom  United States,Quechua
The Motorcycle Diaries,Diarios de motocicleta,2004,Music,Brazil  Argentina  Chile  France  Germany  Peru  United Kingdom  United States,Spanish
Letters from Iwo Jima,Letters from Iwo Jima,2006,Sound Editing,United States,Japanese
Letters from Iwo Jima,Letters from Iwo Jima,2006,Sound Editing,United States,English
Letters from Iwo Jima,Letters from Iwo Jima,2006,Sound,United States,Japanese
Letters from Iwo Jima,Letters from Iwo Jima,2006,Sound,United States,English
Pan's Labyrinth,El laberinto del fauno,2006,Cinematography,Mexico  Spain,Spanish
Pan's Labyrinth,El laberinto del fauno,2006,Art Direction,Mexico  Spain,Spanish
Pan's Labyrinth,El laberinto del fauno,2006,Makeup,Mexico  Spain,Spanish
La Vie en Rose,La Môme,2007,Makeup,France  United Kingdom  Czech Republic,French
The Artist,The Artist,2011,Costume Design,France,Silent film
The Artist,The Artist,2011,Music,France,Silent film
The Artist,The Artist,2011,Actor in a Leading Role,France,Silent film
The Artist,The Artist,2011,Picture,France,Silent film
The Artist,The Artist,2011,Director,France,Silent film
Roma,Roma,2018,Cinematography,Mexico,Spanish Mixtec
Roma,Roma,2018,Director,Mexico,Spanish Mixtec
Parasite,기생충,2019,Picture,South Korea,Korean
Parasite,기생충,2019,Director,South Korea,Korean
Parasite,기생충,2019,Original Screenplay,South Korea,Korean
All Quiet on the Western Front,Im Westen nichts Neues,2022,Music,Germany,German
All Quiet on the Western Front,Im Westen nichts Neues,2022,Music,Germany,French
All Quiet on the Western Front,Im Westen nichts Neues,2022,Cinematography,Germany,German
All Quiet on the Western Front,Im Westen nichts Neues,2022,Cinematography,Germany,French
All Quiet on the Western Front,Im Westen nichts Neues,2022,Production Design,Germany,German
All Quiet on the Western Front,Im Westen nichts Neues,2022,Production Design,Germany,French
RRR,RRR,2022,Music,India,Telugu
RRR,RRR,2022,Music,India,English
Godzilla Minus One,ゴジラ-1.0,2023,Visual Effects,Japan,Japanese
The Zone of Interest,The Zone of Interest,2023,Sound,United Kingdom,German
The Boy and the Heron,Kimitachi wa Dō Ikiru ka 君たちはどう生きるか,2023,Animated Feature,Japan,Japanese
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,Ukrainian
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,English
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,Russian
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,Ukrainian
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,English
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,Russian
Anatomy of a Fall,Anatomie d'une chute,2023,Original Screenplay,France,French
Anatomy of a Fall,Anatomie d'une chute,2023,Original Screenplay,France,English
